Time,TZ-A403:DAVIS MONTHAN AFB ANN HTG 99.6% CONDNS DB:Des Heat Load [W],TZ-A403:DAVIS MONTHAN AFB ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],TZ-A403:DAVIS MONTHAN AFB ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],TZ-A403:DAVIS MONTHAN AFB ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],TZ-A403::Des Latent Heat Load [W],TZ-A403::Des Latent Cool Load [W],TZ-A403::Des Latent Heat Mass Flow [kg/s],TZ-A403::Des Latent Cool Mass Flow [kg/s],TZ-A403::Des Heat Load No DOAS [W],TZ-A403::Des Sens Cool Load No DOAS [W],TZ-A403::Des Latent Heat Load No DOAS [W],TZ-A403::Des Latent Cool Load No DOAS [W],TZ-A403:DAVIS MONTHAN AFB ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],TZ-A403:DAVIS MONTHAN AFB ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],TZ-A403:DAVIS MONTHAN AFB ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],TZ-A403:DAVIS MONTHAN AFB ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:05:00,5.751111E+03,2.907041E+03,2.967955E-01,3.164363E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099722E+01,4.257141E+01,2.300102E+01,4.153518E+01
00:10:00,5.751123E+03,2.889871E+03,2.967961E-01,3.145674E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099722E+01,4.257141E+01,2.300101E+01,4.150588E+01
00:15:00,5.751134E+03,2.872837E+03,2.967967E-01,3.127131E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099722E+01,4.257141E+01,2.300102E+01,4.147011E+01
00:20:00,5.751146E+03,2.855935E+03,2.967973E-01,3.108733E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099722E+01,4.257141E+01,2.300103E+01,4.143769E+01
00:25:00,5.751157E+03,2.839167E+03,2.967979E-01,3.090480E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099722E+01,4.257140E+01,2.300103E+01,4.141154E+01
00:30:00,5.751169E+03,2.822530E+03,2.967985E-01,3.072370E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099722E+01,4.257140E+01,2.300104E+01,4.139065E+01
00:35:00,5.751180E+03,2.806023E+03,2.967991E-01,3.054402E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099722E+01,4.257140E+01,2.300104E+01,4.137319E+01
00:40:00,5.751191E+03,2.789647E+03,2.967996E-01,3.036576E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099722E+01,4.257140E+01,2.300104E+01,4.135773E+01
00:45:00,5.751202E+03,2.773401E+03,2.968002E-01,3.018891E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099722E+01,4.257140E+01,2.300105E+01,4.134347E+01
00:50:00,5.751213E+03,2.757284E+03,2.968008E-01,3.001347E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099722E+01,4.257140E+01,2.300105E+01,4.132998E+01
00:55:00,5.751224E+03,2.741296E+03,2.968014E-01,2.983943E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099722E+01,4.257140E+01,2.300105E+01,4.131701E+01
01:00:00,5.751235E+03,2.725438E+03,2.968019E-01,2.966680E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099722E+01,4.257140E+01,2.300105E+01,4.130441E+01
01:05:00,5.751235E+03,2.712465E+03,2.968019E-01,2.952559E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099722E+01,4.257140E+01,2.300105E+01,4.129205E+01
01:10:00,5.751234E+03,2.699782E+03,2.968019E-01,2.938753E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099722E+01,4.257140E+01,2.300105E+01,4.128025E+01
01:15:00,5.751233E+03,2.687379E+03,2.968018E-01,2.925251E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099722E+01,4.257140E+01,2.300105E+01,4.126913E+01
