Time,AIR LOOP HVAC 1:DesPer 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 1:Des Heat Cap [W],AIR LOOP HVAC 1:DesPer 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 1:Des Sens Cool Cap [W],AIR LOOP HVAC 1:DesPer 1:Des Tot Cool Cap [W],AIR LOOP HVAC 1:DesPer 2:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 2:Des Heat Cap [W],AIR LOOP HVAC 1:DesPer 2:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 2:Des Sens Cool Cap [W],AIR LOOP HVAC 1:DesPer 2:Des Tot Cool Cap [W]
00:05:00,1.031860E-01,0.000000E+00,3.639017E-01,6.226442E+03,3.639725E+03,3.709944E-01,6.039310E+03,1.031860E-01,0.000000E+00,0.000000E+00
00:10:00,1.031860E-01,0.000000E+00,3.617525E-01,6.165494E+03,3.593706E+03,3.709952E-01,6.039322E+03,1.031860E-01,0.000000E+00,0.000000E+00
00:15:00,1.031860E-01,0.000000E+00,3.596201E-01,6.105120E+03,3.548152E+03,3.709959E-01,6.039334E+03,1.031860E-01,0.000000E+00,0.000000E+00
00:20:00,1.031860E-01,0.000000E+00,3.575043E-01,6.045313E+03,3.503050E+03,3.709966E-01,6.039346E+03,1.031860E-01,0.000000E+00,0.000000E+00
00:25:00,1.031860E-01,0.000000E+00,3.554052E-01,5.986068E+03,3.458396E+03,3.709974E-01,6.039358E+03,1.031860E-01,0.000000E+00,0.000000E+00
00:30:00,1.031860E-01,0.000000E+00,3.533225E-01,5.927379E+03,3.414185E+03,3.709981E-01,6.039370E+03,1.031860E-01,0.000000E+00,0.000000E+00
00:35:00,1.031860E-01,0.000000E+00,3.512562E-01,5.869243E+03,3.370414E+03,3.709988E-01,6.039382E+03,1.031860E-01,0.000000E+00,0.000000E+00
00:40:00,1.031860E-01,0.000000E+00,3.492062E-01,5.811653E+03,3.327079E+03,3.709996E-01,6.039394E+03,1.031860E-01,0.000000E+00,0.000000E+00
00:45:00,1.031860E-01,0.000000E+00,3.471724E-01,5.754607E+03,3.284169E+03,3.710003E-01,6.039406E+03,1.031860E-01,0.000000E+00,0.000000E+00
00:50:00,1.031860E-01,0.000000E+00,3.451548E-01,5.698100E+03,3.241693E+03,3.710010E-01,6.039417E+03,1.031860E-01,0.000000E+00,0.000000E+00
00:55:00,1.031860E-01,0.000000E+00,3.431535E-01,5.642129E+03,3.199641E+03,3.710017E-01,6.039429E+03,1.031860E-01,0.000000E+00,0.000000E+00
01:00:00,1.031860E-01,0.000000E+00,3.411683E-01,5.586690E+03,3.158010E+03,3.710024E-01,6.039440E+03,1.031860E-01,0.000000E+00,0.000000E+00
01:05:00,1.031860E-01,0.000000E+00,3.395443E-01,5.544971E+03,3.127640E+03,3.710024E-01,6.039440E+03,1.031860E-01,0.000000E+00,0.000000E+00
01:10:00,1.031860E-01,0.000000E+00,3.379566E-01,5.503987E+03,3.097743E+03,3.710023E-01,6.039439E+03,1.031860E-01,0.000000E+00,0.000000E+00
01:15:00,1.031860E-01,0.000000E+00,3.364038E-01,5.463713E+03,3.068314E+03,3.710023E-01,6.039438E+03,1.031860E-01,0.000000E+00,0.000000E+00
01:20:00,1.031860E-01,0.000000E+00,3.348860E-01,5.424143E+03,3.039337E+03,3.710023E-01,6.039438E+03,1.031860E-01,0.000000E+00,0.000000E+00
01:25:00,1.031860E-01,0.000000E+00,3.334031E-01,5.385271E+03,3.010817E+03,3.710022E-01,6.039437E+03,1.031860E-01,0.000000E+00,0.000000E+00
01:30:00,1.031860E-01,0.000000E+00,3.319549E-01,5.347091E+03,2.982739E+03,3.710022E-01,6.039437E+03,1.031860E-01,0.000000E+00,0.000000E+00
01:35:00,1.031860E-01,0.000000E+00,3.305415E-01,5.309599E+03,2.955107E+03,3.710021E-01,6.039436E+03,1.031860E-01,0.000000E+00,0.000000E+00
01:40:00,1.031860E-01,0.000000E+00,3.291628E-01,5.272789E+03,2.927913E+03,3.710021E-01,6.039435E+03,1.031860E-01,0.000000E+00,0.000000E+00
01:45:00,1.031860E-01,0.000000E+00,3.278189E-01,5.236658E+03,2.901145E+03,3.710021E-01,6.039435E+03,1.031860E-01,0.000000E+00,0.000000E+00
01:50:00,1.031860E-01,0.000000E+00,3.265098E-01,5.201200E+03,2.874810E+03,3.710020E-01,6.039434E+03,1.031860E-01,0.000000E+00,0.000000E+00
01:55:00,1.031860E-01,0.000000E+00,3.252355E-01,5.166412E+03,2.848893E+03,3.710020E-01,6.039434E+03,1.031860E-01,0.000000E+00,0.000000E+00
02:00:00,1.031860E-01,0.000000E+00,3.239961E-01,5.132289E+03,2.823400E+03,3.710020E-01,6.039433E+03,1.031860E-01,0.000000E+00,0.000000E+00
02:05:00,1.031860E-01,0.000000E+00,3.227824E-01,5.102279E+03,2.801887E+03,3.710019E-01,6.039432E+03,1.031860E-01,0.000000E+00,0.000000E+00
02:10:00,1.031860E-01,0.000000E+00,3.215834E-01,5.072581E+03,2.780583E+03,3.710019E-01,6.039432E+03,1.031860E-01,0.000000E+00,0.000000E+00
02:15:00,1.031860E-01,0.000000E+00,3.204083E-01,5.043341E+03,2.759566E+03,3.710018E-01,6.039431E+03,1.031860E-01,0.000000E+00,0.000000E+00
02:20:00,1.031860E-01,0.000000E+00,3.192473E-01,5.014399E+03,2.738749E+03,3.710018E-01,6.039430E+03,1.031860E-01,0.000000E+00,0.000000E+00
02:25:00,1.031860E-01,0.000000E+00,3.181097E-01,4.985902E+03,2.718206E+03,3.710018E-01,6.039430E+03,1.031860E-01,0.000000E+00,0.000000E+00
02:30:00,1.031860E-01,0.000000E+00,3.169857E-01,4.957694E+03,2.697861E+03,3.710017E-01,6.039429E+03,1.031860E-01,0.000000E+00,0.000000E+00
02:35:00,1.031860E-01,0.000000E+00,3.158848E-01,4.929922E+03,2.677788E+03,3.710017E-01,6.039428E+03,1.031860E-01,0.000000E+00,0.000000E+00
02:40:00,1.031860E-01,0.000000E+00,3.147973E-01,4.902432E+03,2.657903E+03,3.710016E-01,6.039428E+03,1.031860E-01,0.000000E+00,0.000000E+00
02:45:00,1.031860E-01,0.000000E+00,3.137326E-01,4.875370E+03,2.638284E+03,3.710016E-01,6.039427E+03,1.031860E-01,0.000000E+00,0.000000E+00
02:50:00,1.031860E-01,0.000000E+00,3.126812E-01,4.848584E+03,2.618847E+03,3.710016E-01,6.039427E+03,1.031860E-01,0.000000E+00,0.000000E+00
02:55:00,1.031860E-01,0.000000E+00,3.116526E-01,4.822221E+03,2.599672E+03,3.710015E-01,6.039426E+03,1.031860E-01,0.000000E+00,0.000000E+00
03:00:00,1.031860E-01,0.000000E+00,3.106371E-01,4.796129E+03,2.580677E+03,3.710015E-01,6.039425E+03,1.031860E-01,0.000000E+00,0.000000E+00
03:05:00,1.031860E-01,0.000000E+00,3.096243E-01,4.770146E+03,2.561771E+03,3.710014E-01,6.039425E+03,1.031860E-01,0.000000E+00,0.000000E+00
03:10:00,1.031860E-01,0.000000E+00,3.086135E-01,4.744263E+03,2.542951E+03,3.710014E-01,6.039424E+03,1.031860E-01,0.000000E+00,0.000000E+00
03:15:00,1.031860E-01,0.000000E+00,3.076045E-01,4.718473E+03,2.524215E+03,3.710014E-01,6.039423E+03,1.031860E-01,0.000000E+00,0.000000E+00
03:20:00,1.031860E-01,0.000000E+00,3.065968E-01,4.692773E+03,2.505557E+03,3.710013E-01,6.039423E+03,1.031860E-01,0.000000E+00,0.000000E+00
03:25:00,1.031860E-01,0.000000E+00,3.055904E-01,4.667158E+03,2.486978E+03,3.710013E-01,6.039422E+03,1.031860E-01,0.000000E+00,0.000000E+00
03:30:00,1.031860E-01,0.000000E+00,3.045849E-01,4.641626E+03,2.468475E+03,3.710013E-01,6.039422E+03,1.031860E-01,0.000000E+00,0.000000E+00
03:35:00,1.031860E-01,0.000000E+00,3.035804E-01,4.616174E+03,2.450043E+03,3.710012E-01,6.039421E+03,1.031860E-01,0.000000E+00,0.000000E+00
03:40:00,1.031860E-01,0.000000E+00,3.025766E-01,4.590801E+03,2.431689E+03,3.710012E-01,6.039420E+03,1.031860E-01,0.000000E+00,0.000000E+00
03:45:00,1.031860E-01,0.000000E+00,3.015734E-01,4.565504E+03,2.413409E+03,3.710011E-01,6.039420E+03,1.031860E-01,0.000000E+00,0.000000E+00
